Litauen,im Jahr 2015,24292, img/hot.jpg
Luxemburg,im Jahr 2015,10384, img/hot.jpg
Madagaskar,im Jahr 2015,29045, img/hot.jpg
Malawi,im Jahr 2015,10772, img/hot.jpg
Malaysia,im Jahr 2015,318519, img/hot.jpg
Malediven,im Jahr 2015,916, img/hot.jpg
Mali,im Jahr 2015,30010, img/hot.jpg
Malta,im Jahr 2015,2082, img/hot.jpg
Marokko,im Jahr 2015,84102, img/hot.jpg
Mauretanien,im Jahr 2015,11993, img/hot.jpg
Mauritius,im Jahr 2015,4664, img/hot.jpg
Mexiko,im Jahr 2015,770319, img/hot.jpg
Republik Moldau,im Jahr 2015,13087, img/hot.jpg
Mongolei,im Jahr 2015,45393, img/hot.jpg
Mosambik,im Jahr 2015,25966, img/hot.jpg
Myanmar,im Jahr 2015,129734, img/hot.jpg
Namibia,im Jahr 2015,11385, img/hot.jpg
Nauru,im Jahr 2015,21, img/hot.jpg
Nepal,im Jahr 2015,41807, img/hot.jpg
Neuseeland,im Jahr 2015,84376, img/hot.jpg
Nicaragua,im Jahr 2015,18671, img/hot.jpg
Niederlande (Königreich),im Jahr 2015,207933, img/hot.jpg
Nigeria,im Jahr 2015,309906, img/hot.jpg
Niger,im Jahr 2015,31995, img/hot.jpg
Nordmazedonien,im Jahr 2015,10404, img/hot.jpg
Norwegen,im Jahr 2015,71856, img/hot.jpg
Oman,im Jahr 2015,104501, img/hot.jpg
Österreich,im Jahr 2015,86439, img/hot.jpg
Osttimor,im Jahr 2015,1342, img/hot.jpg
Pakistan,im Jahr 2015,405400, img/hot.jpg
Palau,im Jahr 2015,1238, img/hot.jpg
Panama,im Jahr 2015,16702, img/hot.jpg
Papua-Neuguinea,im Jahr 2015,7454, img/hot.jpg
Paraguay,im Jahr 2015,40011, img/hot.jpg
Peru,im Jahr 2015,87741, img/hot.jpg
Philippinen,im Jahr 2015,208424, img/hot.jpg
Polen,im Jahr 2015,397267, img/hot.jpg
Portugal,im Jahr 2015,70705, img/hot.jpg
Ruanda,im Jahr 2015,6405, img/hot.jpg
Rumänien,im Jahr 2015,112787, img/hot.jpg
Russland,im Jahr 2015,2233876, img/hot.jpg
St Kitts und Nevis,im Jahr 2015,265, img/hot.jpg
St Lucia,im Jahr 2015,481, img/hot.jpg
St Vincent und die Grenadinen,im Jahr 2015,243, img/hot.jpg
Salomonen,im Jahr 2015,297, img/hot.jpg
Sambia,im Jahr 2015,23765, img/hot.jpg
Samoa,im Jahr 2015,359, img/hot.jpg
São Tomé und Príncipe,im Jahr 2015,241, img/hot.jpg
Saudi-Arabien,im Jahr 2015,709787, img/hot.jpg
Schweden,im Jahr 2015,67357, img/hot.jpg
Schweiz,im Jahr 2015,52113, img/hot.jpg
Liechtenstein,im Jahr 2015, img/hot.jpg
Senegal,im Jahr 2015,22473, img/hot.jpg
Serbien,im Jahr 2015,76754, img/hot.jpg
Montenegro,im Jahr 2015, img/hot.jpg
Seychellen,im Jahr 2015,978, img/hot.jpg
Sierra Leone,im Jahr 2015,6176, img/hot.jpg
Simbabwe,im Jahr 2015,29298, img/hot.jpg
Singapur,im Jahr 2015,58366, img/hot.jpg
El Salvador,im Jahr 2015,11655, img/hot.jpg
Slowakei,im Jahr 2015,43838, img/hot.jpg
Slowenien,im Jahr 2015,19245, img/hot.jpg
Somalia,im Jahr 2015,27721, img/hot.jpg
Spanien,im Jahr 2015,349438, img/hot.jpg
Andorra,im Jahr 2015, img/hot.jpg
Sri Lanka,im Jahr 2015,35467, img/hot.jpg
Südafrika,im Jahr 2015,581471, img/hot.jpg
Sudan,im Jahr 2015,119563, img/hot.jpg
Südsudan,im Jahr 2015, img/hot.jpg
Suriname,im Jahr 2015,3002, img/hot.jpg
Eswatini,im Jahr 2015,2847, img/hot.jpg
Syrien,im Jahr 2015,45121, img/hot.jpg
Tadschikistan,im Jahr 2015,15428, img/hot.jpg
Tansania,im Jahr 2015,76974, img/hot.jpg
Thailand,im Jahr 2015,397109, img/hot.jpg
Togo,im Jahr 2015,8194, img/hot.jpg
Tonga,im Jahr 2015,208, img/hot.jpg
Trinidad und Tobago,im Jahr 2015,50839, img/hot.jpg
Tschad,im Jahr 2015,20763, img/hot.jpg
Tschechien,im Jahr 2015,128877, img/hot.jpg
Tunesien,im Jahr 2015,41236, img/hot.jpg
Türkei,im Jahr 2015,510286, img/hot.jpg
Turkmenistan,im Jahr 2015,123704, img/hot.jpg
Tuvalu,im Jahr 2015,27, img/hot.jpg
Uganda,im Jahr 2015,44303, img/hot.jpg
Ukraine,im Jahr 2015,294193, img/hot.jpg
Ungarn,im Jahr 2015,66342, img/hot.jpg
Uruguay,im Jahr 2015,39964, img/hot.jpg
Usbekistan,im Jahr 2015,173536, img/hot.jpg
Vanuatu,im Jahr 2015,598, img/hot.jpg
Venezuela,im Jahr 2015,254401, img/hot.jpg
Vereinigte Arabische Emirate,im Jahr 2015,246609, img/hot.jpg
Vereinigte Staaten,im Jahr 2015,6444396, img/hot.jpg
Vereinigtes Königreich,im Jahr 2015,559645, img/hot.jpg
Vietnam,im Jahr 2015,335553, img/hot.jpg
Belarus,im Jahr 2015,144577, img/hot.jpg
Zentralafrikanische Republik,im Jahr 2015,10027, img/hot.jpg
Republik Zypern,im Jahr 2015,7876, img/hot.jpg
